EmploymentField,EmploymentStatus,Gender,LanguageAtHome,JobWherePref,SchoolDegree,Income
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",15000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,bachelor's degree,43000.0
education,Employed for wages,female,Khmer,in an office with other developers,"some college credit, no degree",6000.0
software development,Employed for wages,male,English,from home,bachelor's degree,75000.0
law enforcement and fire and rescue,Employed for wages,male,English,in an office with other developers,associate's degree,53000.0
education,Employed for wages,male,English,from home,bachelor's degree,52000.0
software development,Employed for wages,male,Spanish,in an office with other developers,high school diploma or equivalent (GED),24000.0
software development,Employed for wages,male,Greek,in an office with other developers,"some college credit, no degree",35000.0
health care,Employed for wages,male,English,from home,"some college credit, no degree",24000.0
architecture or physical engineering,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
education,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",40000.0
education,Employed for wages,male,English,from home,"some college credit, no degree",56000.0
transportation,Employed for wages,male,English,from home,bachelor's degree,35000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,master's degree (non-professional),65000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",30000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),50000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),45000.0
finance,Employed for wages,male,Hindi,in an office with other developers,bachelor's degree,34000.0
"arts, entertainment, sports, or media",Employed for wages,female,Swedish,in an office with other developers,master's degree (non-professional),45000.0
food and beverage,Self-employed business owner,male,English,from home,bachelor's degree,50000.0
office and administrative support,Employed for wages,female,French,in an office with other developers,master's degree (non-professional),35000.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,35000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),26000.0
software development,Employed for wages,male,English,in an office with other developers,bachelor's degree,16000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,from home,bachelor's degree,7000.0
office and administrative support,Employed for wages,male,Serbo-Croatian,in an office with other developers,bachelor's degree,6000.0
education,Employed for wages,female,English,in an office with other developers,Ph.D.,76000.0
education,Self-employed freelancer,male,English,from home,master's degree (non-professional),40000.0
office and administrative support,Employed for wages,female,French,in an office with other developers,master's degree (non-professional),15000.0
